latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,temp,wind_speed,description,humidity,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability
43.0887,-1.1858,312.4,1.6,1.3,2023-02-12,1343,Aqua,MODIS,72,61.03,289.5,24.0,D,0,12.0,0.3104773,Light rain,93,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1393,-0.7364,304.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,60,61.03,290.2,14.4,D,0,14.7,0.59502554,Overcast clouds,93,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.1629,-0.867,311.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,72,61.03,290.2,24.4,D,0,15.1,0.117887445,Overcast clouds,91,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1777,-1.0848,300.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,43,61.03,288.5,9.3,D,0,14.0,1.2795824,Light rain,78,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
51.0425,2.2992,316.8,1.3,1.1,2023-02-13,1022,Terra,MODIS,0,61.03,283.7,22.8,D,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
46.3557,2.4428,301.6,1.1,1.0,2023-02-13,1023,Terra,MODIS,48,61.03,283.5,7.6,D,0,16.9,6.850294,Scattered clouds,84,315,220,18453,2567,2734,3171,208,790,7512,-6062,355,2
44.7287,4.4811,300.5,1.0,1.0,2023-02-13,1023,Terra,MODIS,39,61.03,283.0,6.0,D,0,16.3,1.9444929,Clear sky,95,381,378,35106,5671,6121,6587,2612,5675,7349,11637,354,3
44.1196,3.6162,314.8,1.0,1.0,2023-02-13,1024,Terra,MODIS,75,61.03,283.4,16.1,D,0,14.0,3.0548537,Overcast clouds,87,383,323,20502,3707,4003,4000,519,808,7514,-5935,355,3
42.7824,1.6617,307.1,1.1,1.0,2023-02-13,1024,Terra,MODIS,65,61.03,287.6,12.4,D,0,11.3,0.99028087,Overcast clouds,98,3,3,4378,7488,7493,8450,3600,5849,7310,11714,1,3
43.4408,4.8966,308.8,1.0,1.0,2023-02-13,1247,Aqua,MODIS,0,61.03,291.7,8.8,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
42.6663,2.5285,310.2,1.3,1.1,2023-02-13,1247,Aqua,MODIS,61,61.03,285.7,15.9,D,0,16.2,2.127523,Scattered clouds,77,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
